age_of_child,child_gender,reporter_role,sentiment_score,text_length,risk_word_count,hours_per_day_on_social_media,device_type,complaint_text,                                    risk_ratio,labeled_risk
15,Female,Guardian,0.05,29,1,5,smartphone,Lately I have noticed that my 15-year-old uses social media about 5 hours per day(s) after school and seems to manage studies fine. and I feel intervention is needed.,0.033333333,Medium
13,Female,Mother,-1,42,7,10,smartphone,"Over the past few months, we as a family noticed that my child hides their phone, screen time seems to be around 10  hours per dayevery day and it seems unhealthy. Situation is escalating with sleep disruption and academic decline.",0.166666667,High
16,Male,Father,0.161111111,28,0,3,laptop,"As a parent, I have observed that complains of boredom and uses social media to pass time; only around 3 hours per day. which is becoming a  concern.",0,Medium
18,Female,Guardian,-0.3,33,3,10,smartphone,Lately I have noticed that he got into arguments and panic attacks when we tried to limit phone time; online use close to 10 hours per day. which is impacting behavior and routine.,0.088235294,Medium
13,Female,Mother,-0.1,29,0,4,smartphone,I am worried that she watches a few videos for entertainment but stops when we ask; daily use about 4 hours per day. which is impacting behavior and routine.,0,Medium
16,Female,Guardian,-0.375,39,4,4,laptop,I am concerned because he becomes very angry and cries for hours when we take the phone away; he's spending roughly 4 hours per day on apps. the child hides their screen time. and I feel intervention is needed.,0.1,Medium
15,Female,Guardian,0.129166667,25,0,1,smartphone,I am concerned because watches short videos before bed but wakes up fine; daily use about 1 hours per day. which seems acceptable so far.,0,Low
17,Female,Mother,0.033333333,26,0,2,tablet,My daughter uses social media for about 2 hours per day. She completes homework and chores before using her phone. There are no concerns from school.,0,Low
18,Female,Guardian,0.13030303,27,0,2,tablet,My daughter uses social media for around 2 hours per day to stay connected with classmates. She balances phone time with family interaction. Her behavior remains positive.,0,Low
11,Male,Mother,0,34,1,8,smartphone,I am worried that watches short videos before bed  wakes up lately; daily use about 8 hours per day. we have tried setting limits but it doesn't help. and I feel intervention is needed.,0.028571429,High
15,Female,Father,0.05,29,1,1,smartphone,Lately I have noticed that my 15-year-old uses social media about 1 hours per day(s) after school and seems to manage studies fine. and I feel intervention is needed.,0.033333333,Low
12,Male,Guardian,-1,37,9,12,smartphone,I am concerned because posts occasionally and keeps healthy offline relationships; daily use close to 4 hours per day. and this worries me as a parent. Situation is escalating with isolation from family and responsibilities. CaseRef H055.,0.243243243,High
16,Female,Mother,0.123333333,28,1,3,laptop,"As a parent, I have observed that posts occasionally and keeps healthy offline relationships; daily use close to 3 hours per day. which is becoming a serious concern.",0.034482759,Medium
11,Female,Guardian,0.216666667,24,0,1,smartphone,My daughter spends roughly 1 hours per day browsing educational and creative content. She still enjoys reading and outdoor activities. Her routine remains stable.,0,Low
15,Male,Guardian,-0.116666667,39,3,9,tablet,"As a parent, I have observed that my 15-year-old skips school or is frequently absent because of meeting people from social media. usage around 9 hours per day. this behavior started a few months ago. and it seems unhealthy.",0.075,High
16,Female,Father,-0.216666667,29,1,8,tablet,"As a parent, I have observed that he plays on the weekend and finishes homework during weekdays; screen time roughly 8 hours per dayon average. and it seems unhealthy.",0.033333333,High
18,Male,Guardian,-0.021212121,39,4,6,smartphone,"I am worried that the child has become secretive, has new friends only online, and avoids family time  using devices about 6 hours per day. this behavior started a few months ago. and this worries me as a parent.",0.1,High
12,Male,Father,-0.088888889,29,3,4,smartphone,I am worried that my 12-year-old skips school or is frequently absent because of meeting people from social media. usage around 4 hours per day. and it seems unhealthy.,0.1,Medium
15,Male,Father,0.033333333,24,0,2,laptop,"As a parent, I have observed that uses social media to coordinate group study sessions and is polite online; estimated 2 hours per day. ",0,Low
18,Female,Mother,-0.123333333,36,1,4,smartphone,"Over the past few months, mood swings happen but they are not tied to social media; screen time about 4 hours per day. this behavior started a few months ago. and it is affecting daily life.",0.027027027,Medium
12,Male,Father,0.216666667,30,0,2,smartphone,My son uses social media for around 2 hours per day during his free time. He follows screen time rules at home. There have been no issues with his studies.,0,Low
13,Female,Mother,0.006666667,38,1,8,smartphone,"It has become clear that my 13-year-old daughter refuses to leave her room and has lost weight, spending nearly 8 hours per dayon social platforms. this behavior started a few months ago. and it is affecting daily life.",0.025641026,High
17,Male,Mother,-1,39,6,9,laptop,My son spends around 9 hours per day on social media. He checks his phone repeatedly during study time. We are unsure if this habit may grow worse. Situation is escalating with daily conflicts and emotional distress. ,0.153846154,High
12,Male,Mother,-0.055555556,31,2,4,tablet,"Lately I have noticed that my 12-year-old daughter refuses to leave her room and has lost weight, spending nearly 4 hours per dayon social platforms. and I feel intervention is needed.",0.0625,Medium
18,Male,Father,-0.3,47,2,6,laptop,"Over the past few months, he becomes very angry and cries for hours when we take the phone away; he's spending roughly 6 hours per day on apps. they pretend not to be online but we found them streaming at night. which is impacting behavior and routine.",0.041666667,High
10,Female,Father,0.066666667,30,0,2,smartphone,My daughter uses social media for nearly 2 hours per day after completing chores. She balances her phone time with reading and hobbies. We feel her usage is under control.,0,Low
11,Male,Guardian,0,27,0,4,smartphone,The child spends about 4 hours per day interacting with friends online. He still attends school regularly but seems distracted. Teachers have mentioned reduced focus in class.,0,Medium
11,Male,Father,-0.038888889,35,1,4,smartphone,I am concerned because chats with relatives and uses social media responsibly; average daily use around 4 hours per day. we have tried setting limits but it doesn't help. and I feel intervention is needed.,0.027777778,Medium
11,Male,Guardian,0.033333333,31,1,5,smartphone,"As a parent, I have observed that mood swings happen but they are not tied to social media; screen time about 5 hours per day. which is impacting behavior and routine.",0.03125,Medium
17,Female,Guardian,-0.022222222,33,1,4,smartphone,"As a parent, I have observed that uses tablet for learning and occasional social media browsing; roughly 4 hours per day. the child hides their screen time. which is impacting behavior and routine.",0.029411765,Medium
16,Male,Mother,-0.01,32,3,8,laptop,Lately I have noticed that my 16-year-old skips school or is frequently absent because of meeting people from social media. usage around 8 hours per day. which is becoming a serious concern.,0.090909091,High
10,Male,Guardian,-0.066666667,34,1,5,smartphone,Lately I have noticed that uses apps mainly for tutorials and study material; about 5 hours per dayeach day. we have tried setting limits but it doesn't help. and I feel intervention is needed.,0.028571429,Medium
18,Female,Mother,0.138888889,26,1,9,smartphone,I am worried that watches short videos before bed but wakes up fine; daily use about 9 hours per day. and I feel intervention is needed.,0.037037037,High
10,Male,Mother,0.033333333,25,0,2,laptop,My son spends around 2 hours per day on social media. He balances phone use with outdoor play. There have been no complaints from school.,0,Low
14,Male,Mother,-0.083333333,32,1,2,smartphone,"As a parent, I have observed that mood swings happen but they are not tied to social media; screen time about 2 hours per day. this behavior started a few months ago.",0.03030303,Low
17,Female,Father,-0.143333333,30,3,10,tablet,"Over the past few months, my 17-year-old skips school or is frequently absent because of meeting people from social media. usage around 10 hours per day. and it seems unhealthy.",0.096774194,Medium
15,Female,Guardian,0.033333333,28,0,2,tablet,"My daughter uses social media for roughly 2 hours per day, mainly in the evening. She still participates in family activities. No changes in behavior have been noticed.",0,Low
10,Male,Father,-0.15,40,3,10,smartphone,"Over the past few months, my child hides their phone, deletes messages, and withdraws; screen time seems to be around 10 hours per dayevery day. we have tried setting limits but it doesn't help. and it is affecting daily life.",0.073170732,Medium
13,Female,Father,-0.055555556,25,1,4,smartphone,"Lately I have noticed that my 13-year-old daughter refuses to leave her room and has lost weight, spending nearly 4 hours per dayon social platforms.",0.038461538,Medium
15,Female,Father,-0.088888889,30,1,2,smartphone,Lately I have noticed that mood swings happen but they are not tied to social media; screen time 2 hours per day. For now its not affecting to daily routine.,0.032258065,Low
16,Male,Guardian,-0.138888889,28,1,4,laptop,"Over the past few months, mood swings happen but they are not tied to social media; screen time about 4 hours per day. it has become a concern. ",0.034482759,Medium
11,Female,Guardian,0.008333333,32,0,8,smartphone,I am concerned because complains of boredom and uses social media to pass time; only around 8 hours per day. recently their teacher informed me this. and it is affecting daily life.,0,High
12,Female,Guardian,-0.15,30,2,5,tablet,I am worried that stays up at late night messaging strangers; daily screen time around 5 hours per day. it has become a concern. and I feel intervention is needed.,0.064516129,Medium
16,Female,Mother,-0.087878788,25,4,4,tablet,"I am concerned because the child  has new friends only online, and avoids family time  using devices 4 hours per day. and it seems unhealthy.",0.153846154,Medium
18,Male,Mother,-0.090909091,39,5,10,smartphone,"Lately I have noticed that the child has become secretive, has new friends only online, and avoids family time using devices about 10 hours per day. this behavior started a few months ago. and I feel intervention is needed.",0.125,Medium
11,Female,Father,-0.127777778,35,0,5,smartphone,"Over the past few months, chats with relatives and uses social media responsibly; average daily use around 5 hours per day. this behavior started a few months ago. and this worries me as a parent.",0,Medium
17,Female,Guardian,0.008333333,29,0,6,laptop,"It has become clear that she cries non-stop if wi-fi is cut; used to be social, now online roughly 6 hours per day. and it is affecting daily life.",0,High
14,Female,Mother,0.0375,32,1,6,smartphone,"As a parent, I have observed that they cancel family activities to be online and avoid offline friends; daily social media time 6 hours per day. which is becoming a serious concern.",0.03030303,High
18,Female,Father,0.15,32,0,2,smartphone,My daughter spends about 2 hours per day on social media after finishing her homework. She mainly chats with school friends and watches light videos. Her studies and daily routine remain normal.,0,Low
10,Male,Guardian,-0.15,29,1,1,smartphone,"I am concerned because sometimes stays up late for school works,but recovers the next day; average use about 1 hours per day. and this worries me as a parent.",0.033333333,Low
13,Male,Mother,0.177777778,27,0,2,laptop,"As a parent, I have observed that streams occasionally yet keeps good attendance; typically around 2 hours per dayof use. and this worries me as a parent.",0,Low
11,Female,Mother,0.177777778,24,0,2,tablet,My daughter spends around 2 hours per day on social media in the evening. She completes homework on time. Her overall routine is healthy.,0,Low
17,Male,Father,0.066666667,37,1,4,laptop,"It has become clear that has lost interest in hobbies and isolates themselves, glued to the phone for nearly 4 hours per dayeach day. recently their teacher informed me this. and this worries me as a parent.",0.026315789,Medium
18,Female,Mother,-0.2,43,5,7,smartphone,"As a parent, I have observed that started spending money on in-app purchases and ignoring household limits  approximately 7 hours per dayof daily use. they pretend not to be online but we found them streaming at night. and I feel intervention is needed.",0.113636364,High
16,Female,Father,0.138888889,34,2,3,smartphone,"As a parent, I have observed that watches short videos before bed but wakes up fine; daily use 3 hours per day. the child hides their screen time. and I feel intervention is needed.",0.057142857,Medium
13,Female,Guardian,-1,42,5,8,smartphone,I am worried that my parent reports that their 13-year-old son spends about 8 hours per day on social media and has stopped doing homework sometimes. which is becoming a concern. Situation is escalating with severe anxiety and withdrawal symptoms.,0.119047619,High
17,Female,Guardian,0.158333333,31,0,2,smartphone,"My daughter uses social media for roughly 2 hours per day. She maintains a good balance between screen time and personal activities. As parents, we are not concerned at this stage.",0,Low
13,Male,Mother,0.052083333,36,0,2,tablet,"After completing his daily tasks, my son uses social media for around 2 hours per day. he stops when asked and balances it with other activities. I don't see any issues yet, but it's worth noting.",0,Low
14,Female,Guardian,0.216666667,24,0,1,laptop,My daughter spends roughly 1 hours per day browsing educational and creative content. She still enjoys reading and outdoor activities. Her routine remains stable.,0,Low
16,Female,Guardian,0.077777778,31,0,2,laptop,"During the evening, my daughter spends roughly 2 hours per dayon social media. She balances screen time with hobbies and study. I thought it would be useful to record her habits.",0,Low
11,Male,Father,0.1,24,0,1,smartphone,My son spends about 1 hours per day on social media after finishing homework. He mainly chats with friends. His routine has not changed.,0,Low
12,Male,Father,0.033333333,29,0,2,tablet,My son uses social media for about 2 hours per day. He manages his time well and completes chores. We do not see this as a concern for now.,0,Low
18,Female,Father,-0.070833333,27,5,4,tablet,I am worried that started spending money on in-app purchases and ignoring household limits  approximately 4 hours per dayof daily use. which is becoming a serious concern.,0.178571429,Medium
14,Male,Father,0,29,1,9,smartphone,"Over the past few months, my 14-year-old uses social media about 9 hours per day(s) after school and seems to manage studies fine. and I feel intervention is needed.",0.033333333,High
10,Male,Mother,-0.088888889,32,2,9,smartphone,Lately I have noticed that my counselor reports that their 10-year-old daughter spends about 9 hours per day on social media and has stopped doing homework. and it is affecting daily life.,0.060606061,High
11,Male,Guardian,0.216666667,36,0,2,smartphone,My son uses social media for around 2 hours per day during his free time. He follows screen time rules at home. There have been no issues with his studies.for now this is not a concern,0,Low
18,Male,Father,-0.038888889,35,0,1,tablet,"Over the past few months, watches short videos before bed but wakes up fine; daily use about 1 hours per day. this behavior started a few months ago. and this worries me as a parent.",0,Low
14,Male,Mother,0.133333333,59,0,2,laptop,"My 14-year-old son uses social media for about 2 hours per day, mostly in the evening to watch short clips and message friends. He completes his schoolwork on time and still plays outside, but I have noticed he prefers his phone during free time. While it is not seriously affecting his routine, I am slightly concerned as a parent.",0,Low
18,Male,Father,0.025,23,1,5,laptop,I am concerned because posts occasionally and keeps healthy offline relationships; daily use close to 5 hours per day. and it seems unhealthy.,0.041666667,Medium
12,Male,Father,0.18,57,0,2,smartphone,"My 12-year-old son spends about 2 hours per day on social media, mainly watching videos and chatting with classmates after school. He maintains good sleep habits and finishes his homework regularly, but he sometimes asks for extra screen time. Although it does not seem harmful now, I am keeping an eye on this behavior as a parent.",0,Low
11,Female,Father,-0.104166667,45,2,9,tablet,"Over the past few months, she lies about her screen time and sneaks out to use social apps every evening; i'd estimate 9 hours per day. they pretend not to be online but we found them streaming at night. and it is affecting daily life.",0.043478261,High
11,Female,Guardian,0.123333333,54,0,4,tablet,"My 11-year-old daughter spends around 4 hours per day on social media, mostly watching videos and browsing posts after school. She still completes her homework, but she often delays bedtime and seems less interested in outdoor play. I am concerned that this level of screen time may start affecting her sleep and overall well-being.",0,Medium
18,Female,Guardian,0.008333333,38,1,10,smartphone,It has become clear that they cancel family activities to be online and avoid offline friends; daily social media time roughly 10 hours per day. i am worried about the long-term effects. and I feel intervention is needed.,0.025641026,Medium
16,Female,Father,-0.0075,45,0,1,smartphone,"My 16-year-old daughter uses social media for about 1 hours per day, mainly to keep in touch with friends. She manages her studies well and stays active in school activities. While I do not see major issues, I remain slightly cautious about her screen habits.",0,Low
14,Female,Mother,0.033333333,50,4,10,laptop,"My 14-year-old daughter spends nearly 10 hours per day on social media, often staying online late into the night. She avoids family interactions and has lost interest in hobbies she once enjoyed. I am deeply worried about the long-term impact on her mental health and feel immediate intervention is necessary.",0.078431373,Medium
17,Male,Guardian,0.141666667,38,0,1,smartphone,"My 17-year-old son uses social media for around 1 hours per day, mostly for quick updates and messages. He balances his time well between studies, friends, and family, and there are no noticeable negative effects at this point.",0,Low
18,Male,Mother,-1,46,6,9,smartphone,I am worried that has a daily two-hour limit and respects it most of the time; uses around 9 hours per day. recently their teacher informed me about this. and I feel intervention is needed. Situation is escalating with daily conflicts and emotional distress. ,0.130434783,High
15,Female,Father,0.07,31,2,7,smartphone,"It has become clear that my 15-year-old daughter refuses to leave her room and has lost weight, spending nearly 7 hours per dayon social platforms. which is becoming a serious concern.",0.0625,High
18,Male,Father,-0.153333333,23,1,4,laptop,Lately I have noticed that uses tablet for learning and occasional social media browsing; roughly 4 hours per day. and it seems unhealthy.,0.041666667,Medium
14,Male,Mother,0.022222222,52,0,2,tablet,"My 14-year-old son spends about 2 hours per dayon social media each day, mostly chatting with friends and watching short videos. He still participates in sports and family activities, and homework is completed on time.",0,Low
15,Female,Mother,-0.022222222,52,1,6,laptop,"My 15-year-old daughter spends around 6 hours per day on social media, often skipping family meals and delaying homework to stay online. She has started avoiding her friends offline and seems irritable if her phone is taken away. I am worried about the long-term effects on her mental health and daily routine.",0.018867925,High
10,Female,Father,0.1,37,3,9,smartphone,Lately I have noticed that he got into arguments and panic attacks when we tried to limit phone time; online use close to 9 hours per day. more frequently than before which is impacting behavior and routine.,0.078947368,High
14,Female,Mother,0.258333333,48,0,1,smartphone,"My 14-year-old daughter spends about 1 hours per day on social media, mostly checking messages and watching short videos after school. She still enjoys outdoor activities and completes her schoolwork on time. While it doesn't seem harmful, I keep an eye on her habits just to be safe.",0,Low
15,Female,Father,0.008333333,49,0,2,smartphone,"My 15-year-old daughter uses social media for about 2 hours per day, mainly to chat with friends and follow updates. She manages her homework and extracurricular activities well, but sometimes prefers scrolling over short breaks. While it isn't causing problems now, I'm slightly concerned about her growing screen habits.",0,Low
14,Female,Father,-0.105555556,49,0,1,smartphone,"My 14-year-old daughter spends roughly 1 hours per day on social media, usually in the evenings to watch videos or chat with friends. She still takes part in family activities and schoolwork without issues. Although it seems harmless for now, I am keeping an eye on her screen time.",0,Low
10,Male,Mother,0.003125,49,0,2,smartphone,"My 10-year-old son spends about 2 hours per day on social media, mainly watching videos and playing online games. He still enjoys outdoor play and finishes his homework on time, but sometimes asks for extra screen time. I'm a little concerned about him forming a habit at this age.",0,Low
14,Male,Guardian,0.08,52,0,2,laptop,"My 14-year-old son spends around 2 hours per day on social media, mostly chatting with friends and watching short videos. He still participates in sports and school activities and completes his homework on time. While his social media use doesn't seem harmful now, I am slightly worried it could become a habit.",0,Low
13,Male,Mother,-0.1375,27,1,5,smartphone,I am concerned because open about screen time and follows rules set by parents; daily average approximately 5 hours per day. and I feel intervention is needed.,0.035714286,Medium
15,Male,Father,-0.15,47,2,7,smartphone,"Over the past few months, posts and takes part in dangerous online challenges and then got reprimanded at school; they use social media about 7 hours per day. they pretend not to be online but we found them streaming at night. which is becoming a serious concern.",0.041666667,High
15,Male,Guardian,0.016666667,48,0,1,laptop,"My 15-year-old son spends about 1 hours per day on social media, mainly checking messages and watching short clips. He stays active in school, completes his homework on time, and still enjoys outdoor activities. While it doesn't seem harmful, I am keeping an eye on his screen habits.",0,Low
18,Female,Father,0.091666667,53,0,1,smartphone,"My 18-year-old daughter spends about 1 hours per day on social media, mostly to stay in touch with friends and follow updates. She manages her studies, work, and family responsibilities well, and her daily routine is not affected. I am slightly cautious about the habit but it doesn't seem harmful at this point.",0,Low
14,Male,Father,0.1,36,2,7,tablet,"It has become clear that has lost interest in hobbies and isolates themselves, glued to the phone for nearly 7 hours per dayeach day. the child hides their screen time. which is impacting behavior and routine.",0.054054054,High
15,Male,Guardian,0.05,34,1,2,tablet,Lately I have noticed that my 15-year-old uses social media 2 hours per day(s) after school and seems to manage studies fine. the child hides their screen time. which is impacting behavior and routine.,0.028571429,Low
14,Female,Father,-0.138888889,29,0,5,smartphone,"Over the past few months, uses social media to coordinate group study sessions and is polite online; estimated 5 hours per day. and this worries me as a parent.",0,Medium
11,Female,Mother,-0.275,28,1,1,smartphone,Lately I have noticed that plays online with friends but stops for chores and family time; usually 1 hours per day. and this worries me as a parent.,0.034482759,Low
14,Male,Father,-0.103333333,31,1,1,smartphone,I am concerned because chats with relatives and uses social media responsibly; average daily use around 1 hours per day. recently their teacher informed me about this. and it seems unhealthy.,0.03125,Low
12,Female,Mother,-0.15,27,0,6,laptop,I am worried that he plays on the weekend and finishes homework during weekdays; screen time 6 hours per dayon average. which is impacting behavior and routine.,0,High
15,Female,Mother,0,39,3,6,smartphone,"As a parent, I have observed that my child hides their phone, deletes messages, and withdraws; screen time seems to be around 6 hours per dayevery day. i am worried the long-term effects. and it is affecting daily life.",0.075,High
17,Female,Father,-0.104166667,28,0,1,tablet,"Over the past few months, uses social media to coordinate group study sessions and is polite online; estimated 1 hours per day. and it is affecting daily life.",0,Low
13,Male,Mother,-1,48,7,10,tablet,Lately I have noticed that my teacher reports that their 13-year-old son spends about 10 hours per day on social media and has stopped doing homework. recently their teacher informed me about this. and it seems unhealthy. Situation is escalating with sleep disruption and academic decline.,0.145833333,High
15,Female,Father,0.183333333,30,0,5,smartphone,It has become clear that my 15-year-old uses social media about 5 hours per day(s) after school and seems to manage studies fine. and this worries me as a parent.,0,Medium
16,Male,Guardian,0.05,27,1,7,smartphone,It has become clear that complains of boredom and uses social media to pass time; only around 7 hours per day. which is becoming a serious concern.,0.035714286,High
17,Male,Mother,0.416666667,30,1,2,laptop,"I am concerned because as a parent, i have observed my 17-year-old son online until 12 am;  it has become a concern. and it seems unhealthy.but doing his studies fine.",0.032258065,Low
12,Female,Father,0.029166667,26,1,2,smartphone,Lately I have noticed that watches short videos before bed but wakes up fine; daily use 2 hours per day. and I feel intervention is needed.,0.037037037,Low
10,Female,Father,0.133333333,23,0,9,smartphone,I am concerned because streams occasionally not keeps good attendance; typically around 9 hours per dayof use. and it is affecting daily life.,0,High
15,Male,Guardian,0.033333333,31,2,7,smartphone,I am worried that using social apps to meet strangers and lying about their age  behavior started after being online for 7 hours per day/day. and I feel intervention is needed.,0.0625,High
10,Female,Mother,0.077777778,31,1,4,laptop,"It has become clear that my 10-year-old daughter refuses to leave her room and has lost weight, spending nearly 4 hours per dayon social platforms. which is impacting behavior and routine.",0.03125,Medium
15,Female,Father,0.072222222,29,2,8,tablet,"I am concerned because has lost interest in hobbies and isolates themselves, glued to the phone for nearly  8 hours per dayeach day. which is becoming a serious concern.",0.066666667,High
17,Female,Mother,-0.088888889,34,3,2,laptop,It has become clear that she lies her screen time and sneaks out to use social apps every evening; i'd estimate 2 hours per day. it has become a concern. and it seems unhealthy.,0.085714286,Low
16,Male,Mother,-0.15,36,0,9,smartphone,"Over the past few months, as a teacher, i have observed my 16-year-old son online until 3 or 4 am; their grades dropped significantly. recently their teacher informed me this. which is impacting behavior and routine.",0,High
14,Female,Mother,-0.225,30,3,7,smartphone,"Over the past few months, shows withdrawal and aggression when challenged screen time; spends 7 hours per dayonline. the child hides their screen time. and I feel intervention is needed.",0.096774194,High
15,Female,Mother,-0.011111111,31,0,1,smartphone,"Over the past few months, as a parent, i have observed my 15-year-old daughter online until 11 p.m ;  and this worries me as a parent.but doing her school studies fine",0,Low
17,Male,Father,-0.2125,42,4,4,laptop,"Over the past few months, started spending money on in-app purchases and ignoring household limits approximately 4 hours per dayof daily use. they pretend not to be online but we found them streaming at night. and this worries me as a parent.",0.093023256,Medium
16,Female,Mother,-0.122222222,29,1,10,smartphone,"Lately I have noticed that she cries non-stop if wi-fi is cut; used to be social, now online roughly 10 hours per day. and I feel intervention is needed.",0.033333333,Medium
18,Male,Guardian,0.038888889,39,3,2,smartphone,"As a parent, I have observed that stays up all night messaging strangers and is depressed; daily screen time around 2 hours per day. we have tried setting limits but it doesn't help. which is becoming a serious concern.",0.075,Low
17,Female,Guardian,0.2375,30,2,8,smartphone,"It has become clear that as a counselor, i have observed my 17-year-old daughter online until 3 or 4 am; their grades dropped significantly. and I feel intervention is needed.",0.064516129,High
14,Female,Father,-0.216666667,37,0,0,laptop,"Over the past few months, takes the phone to school and uses it in classes; i estimate 0 hours per day including school hours. this behavior started a few months ago. which is impacting behavior and routine.",0,Medium
14,Female,Father,-1,45,5,8,tablet,"I am worried that we as a family noticed that my 14-year-old daughter refuses to leave her room and has lost weight, spending nearly 8  hours per dayon social platforms. and it seems unhealthy. Situation is escalating with severe anxiety and withdrawal symptoms.",0.111111111,High
11,Male,Father,0.173333333,36,0,3,laptop,It has become clear that uses apps mainly for tutorials and study material; about 3 hours per dayeach day. recently their teacher informed me about this. more frequently than before which is impacting behavior and routine.,0,Medium
16,Male,Father,0.05,30,1,8,smartphone,"As a parent, I have observed that uses social media to coordinate group study sessions and is polite online; estimated 8 hours per day. which is becoming a serious concern.",0.032258065,High
11,Female,Guardian,-0.086111111,32,1,4,smartphone,"Over the past few months, uses tablet for learning and occasional social media browsing; roughly 4 hours per day. recently their teacher informed me about this. and I feel intervention is needed.",0.03030303,Medium
10,Female,Father,0.028571429,33,1,5,smartphone,"Over the past few months, streams occasionally yet keeps good attendance; typically around 5 hours per dayof use. we have tried setting limits but it doesn't help. which is becoming a serious concern.",0.029411765,Medium
10,Male,Father,-0.275,27,2,2,smartphone,Lately I have noticed that plays online with friends but stops for chores and family time; usually 2 hours per day. and I feel intervention is needed.,0.071428571,Low
17,Female,Father,0.0625,51,2,7,smartphone,"As a parent, I have observed that my 17-year-old daughter refuses to leave her room and has lost weight, spending nearly  7 hours per dayon social platforms. which is impacting behavior and routine.also pretend not to be online but we found them streaming at night. which is becoming a serious concern.",0.038461538,High
16,Female,Guardian,-0.15,22,2,2,laptop,"Over the past few months, stays up all night messaging strangers and is depressed; daily screen time around 2 hours per day. ",0.086956522,Low
16,Male,Father,-0.041666667,36,0,1,smartphone,"As a parent, I have observed that checks social media during short breaks but focuses on studies; overall 1 hours per day. this behavior started a few months ago. and this worries me as a parent.",0,Low
18,Female,Guardian,0.068181818,24,4,2,smartphone,"I am concerned because the child has become secretive, has new friends only online, and avoids family time using devices 2 hours per day..",0.16,Low
13,Female,Mother,-0.283333333,29,4,8,laptop,"Over the past few months, my child hides their phone, deletes messages, and withdraws; screen time seems to be around 8 hours per dayevery day. and it seems unhealthy.",0.133333333,High
14,Male,Mother,0.019444444,35,1,7,smartphone,"Over the past few months, we as a family noticed that my 14-year-old uses social media about 7 hours per day(s) after school and seems to manage studies fine. which is becoming a serious concern.",0.027777778,High
15,Female,Guardian,0.066666667,38,2,1,tablet,I am worried that we as a family noticed that my 15-year-old skips school or is frequently absent because of meeting people from social media. usage around 1 hours per day. and this worries me as a parent.,0.051282051,Low
18,Female,Guardian,0.075,32,1,9,tablet,I am worried that posts occasionally and keeps healthy offline relationships; daily use close to 9 hours per day. this behavior started a few months ago. and I feel intervention is needed.,0.03030303,High
18,Male,Guardian,0.13,28,1,4,smartphone,I am concerned because streams occasionally yet keeps good attendance; typically around 4 hours per dayof use. it has become a concern. which is becoming a serious concern.,0.034482759,Medium
17,Female,Mother,-0.138888889,34,0,8,smartphone,"Over the past few months, follows hobby pages and maintains a balanced routine, using social media about 8 hours per dayeach day. it has become a concern. and this worries me as a parent.",0,High
17,Male,Mother,-0.01,26,3,10,smartphone,Lately I have noticed that  my son skips school or is frequently absent because of meeting people from social media. which is becoming a serious concern.,0.111111111,Medium
15,Female,Mother,-0.225,20,0,2,laptop,"Over the past few months, my 15-year-old usage tiktok around 2 hours per day. which is impacting behavior and routine.",0,Low
17,Female,Father,-0.104166667,40,2,7,smartphone,"Over the past few months, using social apps like facebook to meet strangers and lying about their age  behavior started after being online for 7 hours per day/day. the child hides their screen time. and it is affecting daily life.",0.048780488,High
16,Female,Guardian,-0.038888889,36,2,9,tablet,"Over the past few months, has lost interest in hobbies and isolates themselves, glued to the phone for nearly 9 hours per dayeach day. recently their teacher informed me this. which is becoming a serious concern.",0.054054054,High
13,Male,Father,-0.25,33,2,8,tablet,I am concerned because plays online with friends but stops for chores and family time; usually 8 hours per day. the child hides their screen time. and this worries me as a parent.,0.058823529,High
11,Male,Father,0,34,1,2,smartphone,"As a parent, I have observed that chats with relatives and uses social media responsibly; average daily use around 2 hours per day. it has become a concern. which is becoming a serious concern.",0.028571429,Low
12,Female,Father,0,29,1,5,smartphone,I am concerned because takes the phone to school and uses it in classes; i estimate 5 hours per day including school hours. and I feel intervention is needed.,0.033333333,Medium
16,Female,Father,0,26,0,2,laptop,"As a parent, I have observed that we as a family noticed that my child screen time seems to be around 2 hours per dayevery day. ",0,Low
17,Male,Guardian,-0.166666667,37,1,2,smartphone,"Over the past few months, open about screen time and follows rules set by parents; daily average approximately 2 hours per day. we have tried setting limits but it doesn't help. and I feel intervention is needed.",0.026315789,Low
18,Female,Mother,0.008333333,38,0,9,smartphone,I am worried that checks social media during short breaks but focuses on studies; overall 9 hours per day. they pretend not to be online but we found them streaming at night. and it is affecting daily life.,0,High
15,Male,Mother,-0.097222222,33,2,3,smartphone,"Over the past few months, plays online with friends but stops for chores and family time; usually 3 hours per day. recently their teacher informed me this. which is becoming a serious concern.",0.058823529,Medium
13,Female,Mother,-0.1,30,0,7,laptop,I am concerned because she watches a few videos for entertainment but stops when we ask; daily use about 7 hours per day. and this worries me as a parent.,0,High
11,Female,Guardian,-0.322222222,34,2,5,tablet,"As a parent, I have observed that posts and takes part in dangerous online challenges and then got reprimanded at school; they use social media about 5 hours per day. and it seems unhealthy.",0.057142857,Medium
13,Male,Mother,0,31,0,2,laptop,"I am worried that as a parent, i have observed my 13-year-old son play games using 2 hours per day. which is impacting behavior and routine.But he manage his studies well",0,Low
18,Female,Father,0.097222222,37,1,3,smartphone,It has become clear that chats with relatives and uses social media responsibly; average daily use around 3 hours per day. the child hides their screen time. more frequently than before which is impacting behavior and routine.,0.026315789,Medium
